LSOA11CD,Total_Airbnb_beds,Total_Airbnb_bedrooms,avg_Airbnb_PPB_day
E01000750,0,0,NA
E01000751,0,0,NA
E01000752,0,0,NA
E01000753,0,0,NA
E01000754,7,5,42.8
E01000755,0,0,NA
E01000756,0,0,NA
E01000757,0,0,NA
E01000758,0,0,NA
E01000759,0,0,NA
E01000760,0,0,NA
E01000761,0,0,NA
E01000762,7,5,35.8
E01000763,0,0,NA
E01000764,2,2,25
E01000765,12,12,62.58333333
E01000766,3,2,40
E01000767,1,1,30
E01000768,0,0,NA
E01000769,4,4,31
E01000770,2,2,42
E01000771,0,0,NA
E01000772,3,3,36.66666667
E01000773,9,9,31
E01000774,8,8,28.375
E01000775,1,1,32
E01000777,0,0,NA
E01000778,3,3,56.66666667
E01000779,20,16,42.5
E01000780,0,0,NA
E01000781,3,3,23.66666667
E01000782,1,1,23
E01000783,5,4,20
E01000784,2,2,26.5
E01000785,1,1,16
E01000786,4,4,28.75
E01000787,0,0,NA
E01000788,0,0,NA
E01000789,0,0,NA
E01000790,3,3,55.66666667
E01000791,5,3,25
E01000792,0,0,NA
E01000793,0,0,NA
E01000794,2,2,45.5
E01000795,1,1,27
E01000796,11,7,20.42857143
E01000797,4,4,38.25
E01000798,5,2,138
E01000799,5,4,40
E01000800,27,23,41.2173913
E01000801,9,7,56.42857143
E01000802,20,18,41.88888889
E01000803,24,18,36.66666667
E01000804,6,5,35
E01000805,7,7,32.14285714
E01000806,4,4,29
E01000807,7,7,29.71428571
E01000808,0,0,NA
E01000809,2,2,52.5
E01000810,0,0,NA
E01000811,5,4,48.75
E01000812,1,2,37.5
E01000813,0,0,NA
E01000814,5,4,49
E01000815,0,0,NA
E01000816,4,4,23.75
E01000818,0,0,NA
E01000819,7,4,18.75
E01000820,1,1,35
E01000822,8,5,50.8
E01000823,4,4,40
E01000824,8,8,43.25
E01000825,8,7,25.71428571
E01000826,2,2,45
E01000827,0,0,NA
E01000828,5,5,33
E01000829,4,3,34.33333333
E01000830,4,2,50
E01000831,8,7,52.71428571
E01000832,0,0,NA
E01000833,2,2,32
E01000834,0,0,NA
E01000835,0,0,NA
E01000836,2,1,50
E01000837,20,11,38.81818182
E01000838,0,0,NA
E01000839,3,2,35
E01000840,0,0,NA
E01000841,0,0,NA
E01000842,43,38,89.89473684
E01000843,38,32,87.0625
E01000844,43,38,94.13157895
E01000845,62,50,78.76
E01000846,24,17,88.05882353
E01000847,47,38,68.39473684
E01000848,48,40,84.25
E01000849,44,34,75.82352941
E01000850,133,99,119.1212121
E01000851,317,252,126.452381
E01000852,62,32,137.84375
E01000853,67,39,156.2307692
E01000854,114,87,116.183908
E01000855,291,201,135.3532338
E01000856,173,144,70.43055556
E01000857,53,46,83.23913043
E01000858,120,87,85.04597701
E01000859,87,75,105
E01000860,57,48,110.9166667
E01000861,118,92,79.42391304
E01000862,108,93,86.67741935
E01000863,186,137,77.54014599
E01000864,49,43,69.44186047
E01000865,67,58,88.93103448
E01000866,112,85,78.11764706
E01000867,51,39,79.53846154
E01000868,20,16,89.4375
E01000869,79,68,70.57352941
E01000870,81,64,58.859375
E01000871,65,58,71.89655172
E01000872,56,43,66.13953488
E01000873,44,39,62.25641026
E01000874,39,31,68.06451613
E01000875,29,28,55
E01000876,59,46,73.15217391
E01000877,38,30,63.8
E01000878,27,21,96.23809524
E01000879,43,42,92.83333333
E01000880,83,66,83.37878788
E01000881,40,36,81.66666667
E01000882,96,76,80.64473684
E01000883,73,55,79.12727273
E01000884,15,15,91.6
E01000885,28,28,72.89285714
E01000886,19,18,57.38888889
E01000887,61,56,79.42857143
E01000888,44,37,61.72972973
E01000889,24,14,94.28571429
E01000890,21,19,57.21052632
E01000891,37,26,79.61538462
E01000892,38,36,73.02777778
E01000893,44,43,80.11627907
E01000894,49,35,108.4285714
E01000895,31,27,81.03703704
E01000896,24,20,107
E01000897,43,31,110.0322581
E01000898,40,30,87.83333333
E01000899,51,40,96.775
E01000900,37,34,76.17647059
E01000901,83,58,71.24137931
E01000902,23,17,88.70588235
E01000903,37,35,61.37142857
E01000904,68,59,69.52542373
E01000905,42,32,71.53125
E01000906,77,57,89.80701754
E01000907,27,17,60.17647059
E01000908,23,18,75.11111111
E01000909,52,47,70.57446809
E01000910,78,64,72.359375
E01000911,22,20,64.95
E01000912,100,81,63.20987654
E01000913,59,55,82.85454545
E01000914,268,226,106.0663717
E01000915,85,66,111.5454545
E01000916,160,114,103.9035088
E01000917,67,56,102.0535714
E01000918,149,116,131.0517241
E01000919,375,288,129.0416667
E01000920,159,124,105.6290323
E01000921,82,74,77.90540541
E01000922,73,65,67.73846154
E01000923,40,39,59.82051282
E01000924,39,37,60.40540541
E01000925,27,23,69.13043478
E01000926,66,49,58.18367347
E01000927,79,74,77.33783784
E01000928,125,94,82.21276596
E01000929,41,32,69.78125
E01000930,116,99,107.0606061
E01000931,94,62,82.88709677
E01000932,30,19,73.21052632
E01000933,48,39,60.30769231
E01000934,22,18,71.16666667
E01000935,13,13,53.84615385
E01000936,65,52,79.61538462
E01000937,100,81,85.37037037
E01000938,125,97,85.73195876
E01000939,130,95,77.52631579
E01000940,29,23,108.173913
E01000941,61,42,91.5952381
E01000942,152,114,102.122807
E01000943,131,93,99.31182796
E01000944,51,41,63.97560976
E01000945,143,101,82.54455446
E01000946,169,144,91.83333333
E01000947,236,147,95.78911565
E01000948,134,91,94.37362637
E01000949,46,39,42.58974359
E01000950,38,29,66.34482759
E01000951,47,40,66.9
E01000952,54,49,50.89795918
E01000953,201,155,90.24516129
E01000954,36,25,64.04
E01000955,70,51,73.98039216
E01000956,110,85,89.78823529
E01000957,50,43,73.02325581
E01000958,72,59,78.93220339
E01000959,66,56,64.35714286
E01000960,95,77,86.2987013
E01000961,34,27,61.07407407
E01000962,39,32,92.78125
E01000963,48,36,107.0833333
E01000964,67,59,79.71186441
E01000965,19,16,103.5
E01000966,58,57,69.50877193
E01000967,41,32,130.15625
E01000968,40,31,74.70967742
E01000969,49,46,81.73913043
E01000970,33,23,84.17391304
E01000971,34,31,78
E01000972,67,41,103.804878
E01000973,73,64,65.53125
E01000974,65,55,82.90909091
E01000975,15,10,55.5
E01000976,26,16,73.6875
E01000977,2,2,86
E01000978,6,5,33
E01000979,9,7,47.42857143
E01000980,8,5,46.8
E01000981,5,5,34
E01000982,8,3,94.33333333
E01000983,4,4,35.25
E01000984,23,13,67.53846154
E01000985,3,2,40.5
E01000986,3,3,25.33333333
E01000987,1,1,35
E01000989,6,5,31
E01000990,0,0,NA
E01000991,0,0,NA
E01000992,2,1,30
E01000993,2,2,29.5
E01000994,8,6,32.16666667
E01000995,4,3,37.66666667
E01000996,17,6,86.66666667
E01000997,7,5,19
E01000998,6,5,43
E01000999,1,1,20
E01001000,1,1,25
E01001001,3,4,22.5
E01001002,4,3,39.66666667
E01001003,6,5,42.2
E01001004,5,4,47
E01001005,3,3,33.33333333
E01001006,4,4,23.75
E01001007,3,3,65
E01001008,1,1,25
E01001009,9,6,51
E01001010,5,4,32.75
E01001011,4,4,35
E01001012,14,12,43.5
E01001013,10,6,80.33333333
E01001014,36,32,38.9375
E01001015,0,0,NA
E01001016,1,1,65
E01001017,2,2,20.5
E01001018,2,2,32.5
E01001019,2,2,40
E01001020,0,0,NA
E01001021,3,3,23.33333333
E01001022,0,0,NA
E01001023,7,5,41.6
E01001024,1,1,60
E01001025,2,2,74
E01001026,4,4,31.75
E01001027,2,2,50
E01001028,10,7,39.28571429
E01001029,29,19,43.63157895
E01001030,3,3,39.33333333
E01001031,12,6,75.16666667
E01001032,3,2,42.5
E01001033,4,5,45
E01001034,10,5,41.6
E01001035,7,7,39.71428571
E01001036,4,4,96
E01001037,5,3,33
E01001038,2,2,32.5
E01001039,0,0,NA
E01001040,5,5,45
E01001041,6,5,40
E01001042,14,13,54.38461538
E01001043,20,20,53.75
E01001044,9,5,74
E01001045,55,46,77.32608696
E01001046,2,2,34.5
E01001047,27,26,44.42307692
E01001048,63,51,72.47058824
E01001049,4,4,45
E01001050,2,2,44.5
E01001051,1,1,25
E01001052,0,0,NA
E01001053,0,0,NA
E01001054,1,1,60
E01001055,2,2,14.5
E01001056,0,0,NA
E01001057,0,0,NA
E01001058,0,0,NA
E01001059,0,0,NA
E01001060,1,1,20
E01001061,0,0,NA
E01001062,8,2,62.5
E01001063,3,3,20.33333333
E01001064,3,2,67.5
E01001065,2,1,43
E01001066,3,2,28
E01001067,0,0,NA
E01001068,0,0,NA
E01001069,0,0,NA
E01001070,0,0,NA
E01001071,1,1,18
E01001072,5,4,62.5
E01001073,0,0,NA
E01001074,1,0,Inf
E01001075,4,2,50.5
E01001076,0,0,NA
E01001077,2,1,58
